Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Monday, December 17, 2018
2:03:20 PM

1
Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F,,Hz,,,,
55.444306,65.396618,86.111867,114.872478,61.642334,58.962062,59.408450,12.962645,79.654683,0.329524,65.470271,56.204484,113.768175,81.376691,111.938044,79.926192,52.837170,79.382596,0.001957,0.013295,32.000000,-237.044859,80.257790,0.188709,9.868255,0.434720,300174.727687,0.923619,19.776335,12.621812,1.553013,68.931749,56.705025,70.204529,12.381206,39.157138,100.000000,95.998458,21.012658,14.326033
55.452557,65.384544,86.123923,114.872395,61.681489,58.962243,59.448036,12.962762,79.669594,0.312569,65.454472,56.214421,113.769778,81.385577,111.941412,79.936600,52.836607,79.390781,0.001947,0.013306,32.000000,-237.044644,80.270829,0.181519,9.871404,0.434786,300161.736008,0.922366,19.753908,12.629991,1.553018,68.930266,56.699599,70.206556,12.381206,39.171244,100.000000,95.915624,21.012658,14.324842
55.461991,65.372113,86.142197,114.872625,61.716852,58.970348,59.290269,12.961983,79.678923,0.467666,65.439598,56.224001,113.772820,81.396311,111.945865,79.947883,52.837524,79.401715,0.001930,0.013296,32.000000,-237.045347,80.219487,0.209663,9.873046,0.434776,300147.754297,0.923413,19.730680,12.638484,1.553124,68.930826,56.694584,70.210888,12.381206,39.190481,100.000000,95.813512,21.012658,14.323644
55.465839,65.362718,86.149723,114.872845,61.726132,58.978824,59.434705,12.961175,79.686726,0.743348,65.429466,56.230845,113.775410,81.403658,111.948795,79.953915,52.837060,79.409984,0.001924,0.013307,32.000000,-237.046131,80.202154,0.281689,9.872368,0.434603,300137.543159,0.922619,19.710740,12.644988,1.553110,68.930818,56.690204,70.213859,12.381206,39.202377,99.000000,95.731924,21.012658,14.322801
55.473840,65.353485,86.163016,114.873422,61.780623,58.978827,59.371499,12.961686,79.694164,0.701717,65.418865,56.238728,113.778171,81.414226,111.951063,79.965604,52.836060,79.424498,0.001947,0.013292,32.000000,-237.045615,80.213767,0.284724,9.875802,0.434616,300165.789363,0.924996,19.689312,12.652005,1.553175,68.929546,56.685815,70.217572,12.381206,39.218933,99.000000,95.631101,21.012658,14.322039
55.477693,65.346711,86.171578,114.874149,61.795465,58.986753,59.380360,12.958736,79.701133,0.624903,65.408575,56.240922,113.780427,81.422638,111.952435,79.968278,52.836569,79.426013,0.001964,0.013275,32.000000,-237.048587,80.218234,0.285025,9.878464,0.434707,300201.055310,0.922786,19.676251,12.658469,1.553203,68.928455,56.683389,70.221288,12.381206,39.233936,99.000000,95.546769,21.012658,14.321583
55.480506,65.337525,86.177388,114.874821,61.783033,58.986758,59.448443,12.959262,79.710084,0.455140,65.396902,56.243361,113.782534,81.437264,111.954270,79.978938,52.837493,79.434332,0.001954,0.013265,32.000000,-237.048007,80.300400,0.240122,9.876777,0.434550,300193.052610,0.923598,19.659391,12.669999,1.553219,68.927780,56.681018,70.225520,12.381206,39.246338,99.000000,95.448670,21.012658,14.320878
55.484247,65.329761,86.187980,114.875051,61.791379,58.986987,59.425538,12.959165,79.718018,0.290797,65.392250,56.248048,113.783076,81.442808,111.955407,79.985404,52.837227,79.443319,0.001950,0.013252,32.000000,-237.048067,80.323760,0.181303,9.875768,0.434511,300226.688593,0.923497,19.648943,12.670590,1.553265,68.927066,56.679317,70.229589,12.381206,39.261068,99.000000,95.366075,21.012658,14.320186
55.488528,65.324310,86.195016,114.875656,61.823511,58.987330,59.389962,12.959015,79.725339,0.255496,65.389027,56.251176,113.783621,81.450222,111.958172,79.995481,52.838798,79.451651,0.001974,0.013292,32.000000,-237.048151,80.316655,0.181867,9.876977,0.434579,300217.989651,0.922365,19.637077,12.675699,1.553291,68.928299,56.680232,70.234351,12.381206,39.275577,99.000000,95.264140,21.012658,14.319923
55.487680,65.320614,86.199644,114.876170,61.889047,58.987480,59.431397,12.958931,79.730792,0.447846,65.387378,56.252183,113.784848,81.453740,111.959742,80.003816,52.840454,79.458513,0.001988,0.013315,32.000000,-237.048144,80.246205,0.244629,9.873456,0.434677,300212.560000,0.922635,19.625748,12.682485,1.553377,68.930191,56.683084,70.239038,12.381206,39.288417,99.000000,95.183065,21.012658,14.319819
